name	value
ENSPTRT00000052238.1	5S_rRNA
ENSPTRT00000070097.1	5S_rRNA
ENSPTRT00000023322.3	SLC38A11
ENSPTRT00000062231.2	SCN3A
ENSPTRT00000047577.3	SCN2A
ENSPTRT00000023328.5	CSRNP3
ENSPTRT00000023329.4	GALNT3
ENSPTRT00000023333.5	TTC21B
ENSPTRT00000023334.4	SCN1A
ENSPTRT00000023338.6	SCN9A
ENSPTRT00000049051.4	SCN7A
ENSPTRT00000056345.3	XIRP2
ENSPTRT00000023346.3	B3GALT1
ENSPTRT00000023347.5	STK39
ENSPTRT00000065769.1	CERS6
ENSPTRT00000023357.5	ABCB11
ENSPTRT00000023352.5	NOSTRIN
ENSPTRT00000023353.2	SPC25
ENSPTRT00000023356.4	G6PC2
ENSPTRT00000023361.4	DHRS9
ENSPTRT00000023363.4	LRP2
ENSPTRT00000023368.4	FASTKD1
ENSPTRT00000023371.5	PPIG
ENSPTRT00000023372.5	CCDC173
ENSPTRT00000065399.2	PHOSPHO2
ENSPTRT00000023374.3	KLHL23
ENSPTRT00000023375.2	SSB
ENSPTRT00000023378.4	METTL5
ENSPTRT00000050175.4	MYO3B
ENSPTRT00000056331.1	SP5
ENSPTRT00000056330.4	ERICH2
ENSPTRT00000076338.1	C2orf68
ENSPTRT00000023393.5	GAD1
ENSPTRT00000023400.5	GORASP2
ENSPTRT00000045345.3	TLK1
ENSPTRT00000023405.4	METTL8
ENSPTRT00000023407.4	DCAF17
ENSPTRT00000023411.3	CYBRD1
ENSPTRT00000049491.4	DYNC1I2
ENSPTRT00000023415.5	SLC25A12
ENSPTRT00000023416.3	HAT1
ENSPTRT00000023417.4	METAP1D
ENSPTRT00000050071.2	DLX1
ENSPTRT00000023420.3	DLX2
ENSPTRT00000045930.3	ITGA6
ENSPTRT00000023424.4	PDK1
ENSPTRT00000050781.4	RAPGEF4
ENSPTRT00000023428.4	MAP3K20
ENSPTRT00000023430.5	CDCA7
ENSPTRT00000023432.3	SP3
ENSPTRT00000023436.3	OLA1
ENSPTRT00000023442.5	CIR1
ENSPTRT00000023444.4	SCRN3
ENSPTRT00000023448.3	GPR155
ENSPTRT00000042913.3	WIPF1
ENSPTRT00000023455.4	CHRNA1
ENSPTRT00000023456.5	CHN1
ENSPTRT00000023457.2	ATF2
ENSPTRT00000063488.1	ptr-mir-933
ENSPTRT00000023462.3	ATP5G3
ENSPTRT00000023463.4	LNPK
ENSPTRT00000023464.2	EVX2
ENSPTRT00000023465.2	HOXD13
ENSPTRT00000063945.2	HOXD12
ENSPTRT00000065571.2	HOXD11
ENSPTRT00000067481.2	HOXD11
ENSPTRT00000023468.2	HOXD10
ENSPTRT00000056310.2	HOXD9
ENSPTRT00000062132.3	HOXD8
ENSPTRT00000054408.1	ptr-mir-10b
ENSPTRT00000023472.1	HOXD4
ENSPTRT00000023473.3	HOXD3
ENSPTRT00000056308.3	HOXD1
ENSPTRT00000023475.4	HOXD1
ENSPTRT00000023476.4	MTX2
ENSPTRT00000070799.1	5S_rRNA
ENSPTRT00000062129.2	NFE2L2
ENSPTRT00000023485.3	AGPS
ENSPTRT00000043795.3	TTC30B
ENSPTRT00000023491.4	PDE11A
ENSPTRT00000023495.3	RBM45
ENSPTRT00000067475.2	OSBPL6
ENSPTRT00000023508.5	PRKRA
ENSPTRT00000056301.3	DFNB59
ENSPTRT00000023510.4	FKBP7
ENSPTRT00000023512.2	PLEKHA3
ENSPTRT00000023516.5	TTN
ENSPTRT00000023534.5	CCDC141
ENSPTRT00000023538.3	SESTD1
ENSPTRT00000066682.1	ZNF385B
ENSPTRT00000068855.1	ptr-mir-1258
ENSPTRT00000023543.4	CWC22
ENSPTRT00000023547.5	ITGA4
ENSPTRT00000023550.5	CERKL
ENSPTRT00000023551.3	NEUROD1
ENSPTRT00000023552.4	SSFA2
ENSPTRT00000023556.3	PPP1R1C
ENSPTRT00000052967.1	5S_rRNA
ENSPTRT00000023558.2	PDE1A
ENSPTRT00000023560.4	DNAJC10
ENSPTRT00000023562.5	FRZB
ENSPTRT00000023563.5	NCKAP1
ENSPTRT00000023566.4	DUSP19
ENSPTRT00000023567.4	NUP35
ENSPTRT00000023568.3	ZNF804A
ENSPTRT00000023572.5	FSIP2
ENSPTRT00000023574.4	ZC3H15
ENSPTRT00000056267.4	ITGAV
ENSPTRT00000023580.5	FAM171B
ENSPTRT00000023579.3	FAM171B
ENSPTRT00000023581.2	ZSWIM2
ENSPTRT00000023583.3	CALCRL
ENSPTRT00000023585.5	TFPI
ENSPTRT00000051702.1	5S_rRNA
ENSPTRT00000046280.3	GULP1
ENSPTRT00000061375.1	ptr-mir-561
ENSPTRT00000023590.4	DIRC1
ENSPTRT00000023592.4	COL3A1
ENSPTRT00000068293.1	ptr-mir-1245
ENSPTRT00000041307.3	COL5A2
ENSPTRT00000023594.3	WDR75
ENSPTRT00000023596.1	SLC40A1
ENSPTRT00000023597.4	ASNSD1
ENSPTRT00000023604.3	ANKAR
ENSPTRT00000023605.5	OSGEPL1
ENSPTRT00000023607.4	ORMDL1
ENSPTRT00000023609.3	PMS1
ENSPTRT00000023612.3	MSTN
ENSPTRT00000023614.3	C2orf88
ENSPTRT00000023616.4	HIBCH
ENSPTRT00000023618.4	INPP1
ENSPTRT00000023619.5	MFSD6
ENSPTRT00000023621.3	NEMP2
ENSPTRT00000023622.4	NAB1
ENSPTRT00000023624.3	GLS
ENSPTRT00000023629.3	STAT1
ENSPTRT00000049205.4	MYO1B
ENSPTRT00000023638.4	NABP1
ENSPTRT00000023639.4	SDPR
ENSPTRT00000066084.2	TMEFF2
ENSPTRT00000023644.5	SLC39A10
ENSPTRT00000023649.4	DNAH7
ENSPTRT00000023651.3	STK17B
ENSPTRT00000023652.3	HECW2
ENSPTRT00000056236.4	CCDC150
ENSPTRT00000023656.4	GTF3C3
ENSPTRT00000023657.3	C2orf66
ENSPTRT00000023658.3	PGAP1
ENSPTRT00000023662.4	ANKRD44
ENSPTRT00000023664.2	SF3B1
ENSPTRT00000023665.3	COQ10B
ENSPTRT00000023668.3	HSPE1
ENSPTRT00000023670.4	MOB4
ENSPTRT00000023671.3	RFTN2
ENSPTRT00000023673.4	BOLL
ENSPTRT00000023676.4	PLCL1
ENSPTRT00000023678.6	SATB2
ENSPTRT00000023681.4	C2orf69
ENSPTRT00000043865.4	TYW5
ENSPTRT00000023683.4	MAIP1
ENSPTRT00000023687.3	SPATS2L
ENSPTRT00000023690.4	KCTD18
ENSPTRT00000045534.4	SGO2
ENSPTRT00000056218.3	AOX1
ENSPTRT00000023699.5	BZW1
ENSPTRT00000023702.3	CLK1
ENSPTRT00000023704.5	PPIL3
ENSPTRT00000048311.5	NIF3L1
ENSPTRT00000023708.3	ORC2
ENSPTRT00000023710.3	FAM126B
ENSPTRT00000023711.4	NDUFB3
ENSPTRT00000023719.2	CFLAR
ENSPTRT00000048929.4	CASP10
ENSPTRT00000023734.5	CASP8
ENSPTRT00000023741.4	ALS2CR12
ENSPTRT00000023742.3	TRAK2
ENSPTRT00000047146.4	ALS2CR11
ENSPTRT00000067781.2	TMEM237
ENSPTRT00000048784.4	MPP4
ENSPTRT00000023757.5	ALS2
ENSPTRT00000023759.3	CDK15
ENSPTRT00000023763.2	FZD7
ENSPTRT00000023767.4	SUMO1
ENSPTRT00000023768.2	NOP58
ENSPTRT00000056194.2	BMPR2
ENSPTRT00000023775.5	FAM117B
ENSPTRT00000023780.5	ICA1L
ENSPTRT00000023782.3	WDR12
ENSPTRT00000023783.4	CARF
ENSPTRT00000023788.6	NBEAL1
ENSPTRT00000046497.3	CYP20A1
ENSPTRT00000023794.6	ABI2
ENSPTRT00000056178.3	RAPH1
ENSPTRT00000023802.4	CD28
ENSPTRT00000023805.3	CTLA4
ENSPTRT00000023807.3	ICOS
ENSPTRT00000023808.1	PARD3B
ENSPTRT00000023814.3	NRP2
ENSPTRT00000055480.2	INO80D
ENSPTRT00000023825.5	NDUFS1
ENSPTRT00000045133.2	GPR1
ENSPTRT00000056161.2	ZDBF2
ENSPTRT00000056160.3	ADAM23
ENSPTRT00000072454.1	DYTN
ENSPTRT00000056159.2	MDH1B
ENSPTRT00000023833.4	FASTKD2
ENSPTRT00000023835.2	CPO
ENSPTRT00000023836.4	KLF7
ENSPTRT00000043224.3	CREB1
ENSPTRT00000023840.4	METTL21A
ENSPTRT00000004527.4	CCNYL1
ENSPTRT00000023843.1	FZD5
ENSPTRT00000056154.3	PLEKHM3
ENSPTRT00000070943.1	5S_rRNA
ENSPTRT00000023846.2	CRYGD
ENSPTRT00000023847.2	CRYGC
ENSPTRT00000023849.2	CRYGB
ENSPTRT00000023850.3	CRYGA
ENSPTRT00000023851.4	C2orf80
ENSPTRT00000023853.3	IDH1
ENSPTRT00000023856.3	PIKFYVE
ENSPTRT00000023859.1	PTH2R
ENSPTRT00000051568.1	5S_rRNA
ENSPTRT00000042392.3	MAP2
ENSPTRT00000069548.1	5S_rRNA
ENSPTRT00000023871.5	UNC80
ENSPTRT00000023876.5	KANSL1L
ENSPTRT00000023877.3	ACADL
ENSPTRT00000023882.4	MYL1
ENSPTRT00000023881.3	MYL1
ENSPTRT00000023883.4	LANCL1
ENSPTRT00000023884.4	CPS1
ENSPTRT00000023888.3	ERBB4
ENSPTRT00000053136.1	5S_rRNA
ENSPTRT00000023889.2	IKZF2
ENSPTRT00000023891.3	SPAG16
ENSPTRT00000023893.3	VWC2L
ENSPTRT00000023895.3	BARD1
ENSPTRT00000023898.4	ABCA12
ENSPTRT00000023902.4	ATIC
ENSPTRT00000043828.4	FN1
ENSPTRT00000023909.3	MREG
ENSPTRT00000023910.4	PECR
ENSPTRT00000023911.4	TMEM169
ENSPTRT00000023912.2	XRCC5
ENSPTRT00000023914.3	MARCH4
ENSPTRT00000043548.4	SMARCAL1
ENSPTRT00000047247.3	RPL37A
ENSPTRT00000061957.2	PSMB3
ENSPTRT00000023920.3	IGFBP2
ENSPTRT00000023922.4	IGFBP5
ENSPTRT00000069683.1	5S_rRNA
ENSPTRT00000023923.1	TNP1
ENSPTRT00000075661.1	DIRC3
ENSPTRT00000023926.4	TNS1
ENSPTRT00000023928.5	RUFY4
ENSPTRT00000023932.5	CXCR2
ENSPTRT00000023930.3	CXCR1
ENSPTRT00000023933.4	ARPC2
ENSPTRT00000074255.1	GPBAR1
ENSPTRT00000023937.3	AAMP
ENSPTRT00000023940.4	PNKD
ENSPTRT00000023944.2	TMBIM1
ENSPTRT00000023945.2	CATIP
ENSPTRT00000023947.4	SLC11A1
ENSPTRT00000023949.2	CTDSP1
ENSPTRT00000054331.2	ptr-mir-26b
ENSPTRT00000023950.4	VIL1
ENSPTRT00000023951.3	USP37
ENSPTRT00000023953.6	CNOT9
ENSPTRT00000023954.5	PLCD4
ENSPTRT00000023955.4	ZNF142
ENSPTRT00000047315.5	BCS1L
ENSPTRT00000023957.2	RNF25
ENSPTRT00000023958.4	STK36
ENSPTRT00000023959.3	TTLL4
ENSPTRT00000023961.4	CYP27A1
ENSPTRT00000023962.3	PRKAG3
ENSPTRT00000023964.3	WNT10A
ENSPTRT00000075111.1	CDK5R2
ENSPTRT00000023967.3	CRYBA2
ENSPTRT00000054226.1	ptr-mir-375
ENSPTRT00000023969.3	CFAP65
ENSPTRT00000023973.5	IHH
ENSPTRT00000072803.1	IHH
ENSPTRT00000064327.2	NHEJ1
ENSPTRT00000023975.3	SLC23A3
ENSPTRT00000042183.3	CNPPD1
ENSPTRT00000023977.1	FAM134A
ENSPTRT00000023980.4	ZFAND2B
ENSPTRT00000056097.4	ABCB6
ENSPTRT00000043959.5	ATG9A
ENSPTRT00000023984.3	ANKZF1
ENSPTRT00000023985.4	GLB1L
ENSPTRT00000043670.4	STK16
ENSPTRT00000023989.2	TUBA4A
ENSPTRT00000023993.5	DNAJB2
ENSPTRT00000023995.3	PTPRN
ENSPTRT00000023996.4	RESP18
ENSPTRT00000056086.1	DNPEP
ENSPTRT00000024000.4	DES
ENSPTRT00000024003.3	SPEG
ENSPTRT00000024007.4	GMPPA
ENSPTRT00000024011.4	ASIC4
ENSPTRT00000024012.5	CHPF
ENSPTRT00000056075.2	TMEM198
ENSPTRT00000066153.2	OBSL1
ENSPTRT00000024019.2	INHA
ENSPTRT00000024021.4	STK11IP
ENSPTRT00000024024.4	SLC4A3
ENSPTRT00000024029.4	EPHA4
ENSPTRT00000024032.4	PAX3
ENSPTRT00000024037.2	CCDC140
ENSPTRT00000024040.5	SGPP2
ENSPTRT00000024042.4	FARSB
ENSPTRT00000024043.5	MOGAT1
ENSPTRT00000024044.4	ACSL3
ENSPTRT00000024045.3	KCNE4
ENSPTRT00000024046.2	SCG2
ENSPTRT00000058622.2	AP1S3
ENSPTRT00000024051.3	WDFY1
ENSPTRT00000024052.2	MRPL44
ENSPTRT00000024053.3	SERPINE2
ENSPTRT00000074009.1	FAM124B
ENSPTRT00000024058.4	FAM124B
ENSPTRT00000024062.4	CUL3
ENSPTRT00000024063.5	DOCK10
ENSPTRT00000024065.5	NYAP2
ENSPTRT00000024066.3	IRS1
ENSPTRT00000042265.4	RHBDD1
ENSPTRT00000066961.2	COL4A4
ENSPTRT00000024078.6	COL4A4
ENSPTRT00000024085.4	COL4A3
ENSPTRT00000024093.3	MFF
ENSPTRT00000024095.3	TM4SF20
ENSPTRT00000056040.2	AGFG1
ENSPTRT00000024097.3	C2orf83
ENSPTRT00000075810.1	C2orf83
ENSPTRT00000056039.2	SLC19A3
ENSPTRT00000049922.4	CCL20
ENSPTRT00000024102.2	DAW1
ENSPTRT00000064073.2	SPHKAP
ENSPTRT00000024109.5	PID1
ENSPTRT00000056033.2	DNER
ENSPTRT00000024112.5	TRIP12
ENSPTRT00000056028.1	FBXO36
ENSPTRT00000024115.3	SLC16A14
ENSPTRT00000024122.5	SP140
ENSPTRT00000024126.4	SP140L
ENSPTRT00000067486.2	SP140L
ENSPTRT00000024130.4	SP100
ENSPTRT00000007302.3	BANF1
ENSPTRT00000024132.4	CAB39
ENSPTRT00000024137.3	ITM2C
ENSPTRT00000024138.3	GPR55
ENSPTRT00000046670.2	SPATA3
ENSPTRT00000056019.2	C2orf72
ENSPTRT00000024140.4	PSMD1
ENSPTRT00000024141.2	HTR2B
ENSPTRT00000024143.5	ARMC9
ENSPTRT00000024147.5	NCL
ENSPTRT00000024149.2	NMUR1
ENSPTRT00000024150.1	TEX44
ENSPTRT00000024152.3	PDE6D
ENSPTRT00000042307.2	COPS7B
ENSPTRT00000024155.2	NPPC
ENSPTRT00000048975.3	DIS3L2
ENSPTRT00000054761.1	ptr-mir-562
ENSPTRT00000024162.5	ALPP
ENSPTRT00000024164.3	ALPPL2
ENSPTRT00000024165.3	ALPI
ENSPTRT00000024167.2	ECEL1
ENSPTRT00000024174.3	CHRND
ENSPTRT00000047594.3	CHRNG
ENSPTRT00000073572.1	TIGD1
ENSPTRT00000024177.4	EIF4E2
ENSPTRT00000024178.2	EFHD1
ENSPTRT00000055997.3	GIGYF2
ENSPTRT00000024181.5	KCNJ13
ENSPTRT00000024182.4	C2orf82
ENSPTRT00000024186.4	NGEF
ENSPTRT00000024188.2	NEU2
ENSPTRT00000024189.5	INPP5D
ENSPTRT00000024197.4	ATG16L1
ENSPTRT00000024200.6	SAG
ENSPTRT00000024204.3	DGKD
ENSPTRT00000024205.5	USP40
ENSPTRT00000048642.4	UGT1A4
ENSPTRT00000024225.2	HJURP
ENSPTRT00000024227.5	TRPM8
ENSPTRT00000024228.3	SPP2
ENSPTRT00000024229.3	ARL4C
ENSPTRT00000045320.4	SH3BP4
ENSPTRT00000043138.3	AGAP1
ENSPTRT00000024236.2	GBX2
ENSPTRT00000024238.5	ASB18
ENSPTRT00000024240.5	IQCA1
ENSPTRT00000024241.3	ACKR3
ENSPTRT00000024248.3	COL6A3
ENSPTRT00000024253.4	RAB17
ENSPTRT00000024258.4	RBM44
ENSPTRT00000074457.1	RAMP1
ENSPTRT00000024260.3	RAMP1
ENSPTRT00000024261.4	UBE2F
ENSPTRT00000055965.2	SCLY
ENSPTRT00000024270.3	KLHL30
ENSPTRT00000074450.1	ERFE
ENSPTRT00000024275.2	ILKAP
ENSPTRT00000045293.5	PER2
ENSPTRT00000055962.1	TRAF3IP1
ENSPTRT00000024287.4	ASB1
ENSPTRT00000067777.1	TWIST2
ENSPTRT00000024291.3	HDAC4
ENSPTRT00000024296.3	NDUFA10
ENSPTRT00000024303.1	COPS9
ENSPTRT00000024304.1	OTOS
ENSPTRT00000054485.2	ptr-mir-149
ENSPTRT00000024308.4	ANKMY1
ENSPTRT00000024314.2	DUSP28
ENSPTRT00000024318.4	CAPN10
ENSPTRT00000055955.4	GPR35
ENSPTRT00000073324.1	GPR35
ENSPTRT00000024025.4	KIF1A
ENSPTRT00000024336.3	AGXT
ENSPTRT00000055954.2	C2orf54
ENSPTRT00000024341.6	SNED1
ENSPTRT00000024344.4	MTERF4
ENSPTRT00000046535.4	PASK
ENSPTRT00000024349.2	PPP1R7
ENSPTRT00000024350.4	ANO7
ENSPTRT00000024355.4	HDLBP
ENSPTRT00000045932.4	SEPT2
ENSPTRT00000024358.3	FARP2
ENSPTRT00000045859.2	STK25
ENSPTRT00000076157.1	BOK
ENSPTRT00000024366.4	THAP4
ENSPTRT00000053206.1	5S_rRNA
ENSPTRT00000024367.5	ATG4B
ENSPTRT00000024369.4	DTYMK
ENSPTRT00000024372.5	ING5
ENSPTRT00000024373.3	D2HGDH
ENSPTRT00000055944.1	GAL3ST2
ENSPTRT00000076196.1	ISG15
ENSPTRT00000054489.1	ptr-mir-200a
ENSPTRT00000000015.3	TTLL10
ENSPTRT00000000022.4	B3GALT6
ENSPTRT00000049605.4	ACAP3
ENSPTRT00000000049.3	CPTP
ENSPTRT00000000050.3	TAS1R3
ENSPTRT00000064008.2	DVL1
ENSPTRT00000000057.3	AURKAIP1
ENSPTRT00000047170.4	CCNL2
ENSPTRT00000048681.3	ATAD3C
ENSPTRT00000000068.3	ATAD3B
ENSPTRT00000000069.3	SSU72
ENSPTRT00000075018.1	FNDC10
ENSPTRT00000043775.4	SLC35E2B
ENSPTRT00000000083.5	NADK
ENSPTRT00000042327.4	CALML6
ENSPTRT00000000093.3	TMEM52
ENSPTRT00000065161.1	TMEM52
ENSPTRT00000045105.3	GABRD
ENSPTRT00000000100.3	SKI
ENSPTRT00000000102.4	MORN1
ENSPTRT00000000105.5	RER1
ENSPTRT00000000106.2	PEX10
ENSPTRT00000000113.5	PLCH2
ENSPTRT00000000114.3	PANK4
ENSPTRT00000043104.4	HES5
ENSPTRT00000000116.3	TNFRSF14
ENSPTRT00000000118.5	FAM213B
ENSPTRT00000000121.3	MMEL1
ENSPTRT00000067727.2	TTC34
ENSPTRT00000000123.3	ACTRT2
ENSPTRT00000059706.3	PRDM16
ENSPTRT00000000130.4	ARHGEF16
ENSPTRT00000054688.2	ptr-mir-551a
ENSPTRT00000000144.5	TPRG1L
ENSPTRT00000000143.6	TPRG1L
ENSPTRT00000000145.6	WRAP73
ENSPTRT00000000142.3	TP73
ENSPTRT00000000148.4	CCDC27
ENSPTRT00000000149.2	LRRC47
ENSPTRT00000000152.4	CEP104
ENSPTRT00000000153.2	DFFB
ENSPTRT00000042678.3	C1H1orf174
ENSPTRT00000048759.2	AJAP1
ENSPTRT00000000171.3	CHD5
ENSPTRT00000000172.3	RPL22
ENSPTRT00000059688.2	RNF207
ENSPTRT00000000176.5	ICMT
ENSPTRT00000000178.2	HES3
ENSPTRT00000000180.4	GPR153
ENSPTRT00000000186.2	ACOT7
ENSPTRT00000000187.3	HES2
ENSPTRT00000000188.5	HES2
ENSPTRT00000067994.2	TNFRSF25
ENSPTRT00000043386.3	PLEKHG5
ENSPTRT00000000207.2	NOL9
ENSPTRT00000000208.3	TAS1R1
ENSPTRT00000000210.2	ZBTB48
ENSPTRT00000000215.5	KLHL21
ENSPTRT00000000216.3	PHF13
ENSPTRT00000000219.5	THAP3
ENSPTRT00000000222.4	DNAJC11
ENSPTRT00000000227.4	CAMTA1
ENSPTRT00000000229.2	VAMP3
ENSPTRT00000046803.5	PER3
ENSPTRT00000063808.2	UTS2
ENSPTRT00000000233.2	TNFRSF9
ENSPTRT00000000234.4	PARK7
ENSPTRT00000000237.4	ERRFI1
ENSPTRT00000000238.3	SLC45A1
ENSPTRT00000000243.5	RERE
ENSPTRT00000000247.3	ENO1
ENSPTRT00000000250.5	CA6
ENSPTRT00000000255.3	SLC2A7
ENSPTRT00000000254.3	SLC2A5
ENSPTRT00000054362.1	ptr-mir-34a
ENSPTRT00000000258.5	H6PD
ENSPTRT00000046470.3	SPSB1
ENSPTRT00000070856.1	5S_rRNA
ENSPTRT00000000260.3	SLC25A33
ENSPTRT00000000269.6	PIK3CD
ENSPTRT00000000270.3	CLSTN1
ENSPTRT00000043749.4	CTNNBIP1
ENSPTRT00000000274.3	LZIC
ENSPTRT00000059671.1	NMNAT1
ENSPTRT00000000275.2	NMNAT1
ENSPTRT00000000278.4	RBP7
ENSPTRT00000000277.3	RBP7
ENSPTRT00000000279.5	UBE4B
ENSPTRT00000000282.5	KIF1B
ENSPTRT00000072468.1	PGD
ENSPTRT00000000298.2	APITD1
ENSPTRT00000000299.4	CORT
ENSPTRT00000000302.6	DFFA
ENSPTRT00000000303.4	PEX14
ENSPTRT00000000306.4	CASZ1
ENSPTRT00000059666.3	C1H1orf127
ENSPTRT00000000310.4	TARDBP
ENSPTRT00000000314.3	MASP2
ENSPTRT00000000316.3	SRM
ENSPTRT00000043364.2	EXOSC10
ENSPTRT00000000323.3	MTOR
ENSPTRT00000000324.3	ANGPTL7
ENSPTRT00000066093.2	UBIAD1
ENSPTRT00000059661.3	UBIAD1
ENSPTRT00000000327.6	DISP3
ENSPTRT00000000329.3	FBXO2
ENSPTRT00000000334.3	FBXO44
ENSPTRT00000000335.2	FBXO6
ENSPTRT00000000336.4	MAD2L2
ENSPTRT00000000339.3	DRAXIN
ENSPTRT00000067427.2	AGTRAP
ENSPTRT00000000341.5	C1orf167
