bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
638	ENSPTRT00000062277.2	chr12	+	6952285	6983565	6962873	6983565	10	6952285,6962806,6963041,6978169,6978785,6980082,6981156,6982436,6982862,6983533,	6952412,6962922,6963206,6978328,6979019,6980430,6981357,6982558,6982929,6983565,	0	ENSPTRG00000004590.5	cmpl	cmpl	-1,0,1,1,1,1,1,1,0,1,
638	ENSPTRT00000008493.2	chr12	+	6988300	6992203	6988300	6991989	5	6988300,6989376,6990268,6990980,6991437,	6988978,6989550,6990458,6991138,6992203,	0	ENSPTRG00000038667.1	cmpl	cmpl	0,0,0,1,0,
638	ENSPTRT00000008491.4	chr12	+	6993433	7005057	6993433	7004717	18	6993433,6994372,6994866,6995152,6995729,6996340,6998324,6998474,6998657,7001726,7002163,7002817,7002825,7002830,7002988,7003214,7004255,7004552,	6993451,6994525,6995068,6995284,6995866,6996430,6998377,6998542,6998782,7001828,7002289,7002823,7002828,7002831,7003106,7003290,7004396,7005057,	0	ENSPTRG00000004591.6	incmpl	cmpl	0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,2,0,0,
638	ENSPTRT00000045818.4	chr12	+	7005466	7012960	7006537	7012473	13	7005466,7006125,7006507,7006834,7008214,7008418,7008607,7008876,7009021,7009125,7009547,7011168,7012366,	7005675,7006285,7006594,7006873,7008321,7008482,7008770,7008943,7009124,7009185,7009586,7011385,7012960,	0	ENSPTRG00000004592.5	cmpl	cmpl	-1,-1,0,0,0,2,0,1,2,0,0,0,1,
638	ENSPTRT00000008496.4	chr12	-	7014381	7016860	7014616	7016520	6	7014381,7014895,7015137,7016034,7016400,7016789,	7014772,7015002,7015431,7016164,7016577,7016860,	0	ENSPTRG00000004593.4	cmpl	cmpl	0,1,1,0,0,-1,
638	ENSPTRT00000008497.5	chr12	+	7017747	7032983	7017747	7032467	21	7017747,7020956,7021322,7021584,7021872,7022274,7023201,7023995,7025043,7025724,7025939,7026526,7027017,7027586,7028535,7029248,7030219,7030439,7031111,7031553,7032373,	7017858,7021082,7021389,7021718,7022018,7022459,7023296,7024189,7025115,7025812,7026065,7026680,7027037,7027681,7028624,7029440,7030363,7030585,7031265,7031638,7032983,	0	ENSPTRG00000004594.5	cmpl	cmpl	0,0,0,1,0,2,1,0,2,2,0,0,1,0,2,1,1,1,0,1,2,
638	ENSPTRT00000065677.2	chr12	+	7033580	7037505	7033953	7036789	7	7033580,7035269,7035504,7035663,7036093,7036454,7036670,	7034068,7035393,7035589,7035796,7036179,7036542,7037505,	0	ENSPTRG00000004595.6	cmpl	cmpl	0,1,2,0,1,0,1,
638	ENSPTRT00000008500.4	chr12	-	7038508	7039308	7039308	7039308	2	7038508,7039230,	7039228,7039308,	0	ENSPTRG00000004596.4	none	none	-1,-1,
79	ENSPTRT00000008502.4	chr12	+	7074031	7084148	7074932	7082923	8	7074031,7074883,7075143,7075707,7076613,7079407,7082649,7083797,	7074202,7075058,7075253,7075961,7076744,7079544,7082947,7084148,	0	ENSPTRG00000004597.5	cmpl	cmpl	-1,0,0,2,1,0,2,-1,
639	ENSPTRT00000058857.3	chr12	+	7090120	7090287	7090287	7090287	2	7090120,7090155,	7090150,7090287,	0	ENSPTRG00000040860.1	none	none	-1,-1,
639	ENSPTRT00000076137.1	chr12	+	7106396	7110321	7106396	7110321	5	7106396,7107021,7109420,7109914,7110287,	7106618,7107718,7109564,7110095,7110321,	0	ENSPTRG00000040559.1	incmpl	cmpl	0,0,1,1,2,
639	ENSPTRT00000071336.1	chr12	+	7112728	7112792	7112792	7112792	1	7112728,	7112792,	0	ENSPTRG00000037734.1	none	none	-1,
639	ENSPTRT00000008509.2	chr12	+	7112953	7114894	7113044	7114814	3	7112953,7113387,7114662,	7113096,7113564,7114894,	0	ENSPTRG00000004600.2	cmpl	cmpl	0,1,1,
639	ENSPTRT00000008510.5	chr12	+	7122410	7131992	7122652	7131992	15	7122410,7122748,7123122,7125938,7126283,7126504,7126792,7127275,7127552,7128787,7129052,7131061,7131222,7131473,7131793,	7122660,7122871,7123317,7126128,7126400,7126618,7126889,7127355,7127702,7128919,7129207,7131129,7131374,7131565,7131992,	0	ENSPTRG00000004601.5	cmpl	incmpl	0,2,2,2,0,0,0,1,0,0,0,2,1,0,2,
639	ENSPTRT00000072643.1	chr12	+	7134827	7134895	7134895	7134895	1	7134827,	7134895,	0	ENSPTRG00000039790.1	none	none	-1,
639	ENSPTRT00000060941.1	chr12	+	7135224	7135319	7135319	7135319	1	7135224,	7135319,	0	ENSPTRG00000031756.1	none	none	-1,
639	ENSPTRT00000070966.1	chr12	-	7138466	7138736	7138736	7138736	1	7138466,	7138736,	0	ENSPTRG00000037364.1	none	none	-1,
639	ENSPTRT00000008514.3	chr12	-	7147343	7190695	7148304	7190580	13	7147343,7148292,7148525,7148756,7149498,7149760,7150624,7152132,7152719,7152936,7153801,7154557,7190429,	7148050,7148421,7148684,7148904,7149665,7149847,7150733,7152311,7152757,7153030,7153908,7154665,7190695,	0	ENSPTRG00000004604.3	cmpl	cmpl	-1,0,0,2,0,0,2,0,1,0,1,1,0,
640	ENSPTRT00000062240.3	chr12	+	7229964	7239966	7231823	7239966	18	7229964,7231041,7231774,7232189,7232984,7233097,7233619,7234426,7234711,7235162,7235853,7236374,7236978,7237132,7237474,7237797,7239187,7239720,	7230166,7231207,7231982,7232367,7233011,7233118,7233718,7234551,7234793,7235306,7235969,7236453,7237107,7237149,7237480,7237867,7239708,7239966,	0	ENSPTRG00000004605.6	cmpl	incmpl	-1,-1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,
640	ENSPTRT00000062237.3	chr12	-	7249495	7332028	7249813	7331260	11	7249495,7251312,7325458,7325976,7328190,7328419,7328874,7329169,7329636,7331032,7331967,	7250583,7251387,7325614,7326055,7328312,7328567,7329071,7329316,7329829,7331261,7332028,	0	ENSPTRG00000004606.6	cmpl	incmpl	1,1,1,0,1,0,1,1,0,0,-1,
